cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
5,5015,2,ND,ND,ND,,,,,,,,
5,5015,3,ND,ND,ND,,,,,,,,
5,5015,4,ND,ND,ND,,,,,,,,
5,5015,5,ND,ND,ND,,,,,,,,
5,5015,6,ND,ND,ND,,,,,,,,
5,5015,7,ND,ND,ND,,,,,,,,
5,5015,8,ND,ND,ND,,,,,,,,
5,5015,9,ND,ND,ND,,,,,,,,
5,5016,1,7,6,1,,,,,,,,
5,5016,2,0,0,0,,,,,,,,
5,5016,3,0,0,0,,,,,,,,
5,5016,4,0,0,0,,,,,,,,
5,5016,5,0,0,0,,,,,,,,
5,5016,6,NA,NA,NA,,,,,,,,
5,5016,7,0,0,0,,,,,,,,
5,5016,8,1,1,0,,,,,,,,
5,5016,9,0,0,0,,,,,,,,
5,5017,1,117,93,24,,,,,,,,
5,5017,2,29,18,11,,,,,,,,
5,5017,3,0,0,0,,,,,,,,
5,5017,4,0,0,0,,,,,,,,
5,5017,5,0,0,0,,,,,,,,
5,5017,6,NA,NA,NA,,,,,,,,
5,5017,7,3,3,0,,,,,,,,
5,5017,8,20,11,9,,,,,,,,
5,5017,9,0,0,0,,,,,,,,
5,5018,1,134,87,47,,,,,,,,
5,5018,2,35,34,1,,,,,,,,
5,5018,3,0,0,0,,,,,,,,
5,5018,4,0,0,0,,,,,,,,
5,5018,5,0,0,0,,,,,,,,
5,5018,6,NA,NA,NA,,,,,,,,
5,5018,7,2,1,1,,,,,,,,
5,5018,8,16,7,9,,,,,,,,
5,5018,9,0,0,0,,,,,,,,
5,5019,1,9,8,1,,,,,,,,
5,5019,2,0,0,0,,,,,,,,
5,5019,3,0,0,0,,,,,,,,
5,5019,4,0,0,0,,,,,,,,
5,5019,5,0,0,0,,,,,,,,
5,5019,6,NA,NA,NA,,,,,,,,
5,5019,7,2,2,0,,,,,,,,
5,5019,8,0,0,0,,,,,,,,
5,5019,9,0,0,0,,,,,,,,
5,5020,1,45,33,12,,,,,,,,
5,5020,2,0,0,0,,,,,,,,
5,5020,3,0,0,0,,,,,,,,
5,5020,4,0,0,0,,,,,,,,
5,5020,5,0,0,0,,,,,,,,
5,5020,6,NA,NA,NA,,,,,,,,
5,5020,7,1,1,0,,,,,,,,
5,5020,8,3,1,2,,,,,,,,
5,5020,9,0,0,0,,,,,,,,
5,5021,1,7,4,3,,,,,,,,
5,5021,2,0,0,0,,,,,,,,
5,5021,3,0,0,0,,,,,,,,
5,5021,4,0,0,0,,,,,,,,
5,5021,5,0,0,0,,,,,,,,
5,5021,6,NA,NA,NA,,,,,,,,
5,5021,7,0,0,0,,,,,,,,
5,5021,8,0,0,0,,,,,,,,
5,5021,9,0,0,0,,,,,,,,
5,5022,1,35,24,11,,,,,,,,
5,5022,2,0,0,0,,,,,,,,
5,5022,3,0,0,0,,,,,,,,
5,5022,4,0,0,0,,,,,,,,
5,5022,5,0,0,0,,,,,,,,
5,5022,6,NA,NA,NA,,,,,,,,
5,5022,7,4,4,0,,,,,,,,
5,5022,8,1,1,0,,,,,,,,
5,5022,9,0,0,0,,,,,,,,
5,5023,1,17,12,5,,,,,,,,
5,5023,2,0,0,0,,,,,,,,
5,5023,3,0,0,0,,,,,,,,
5,5023,4,0,0,0,,,,,,,,
5,5023,5,0,0,0,,,,,,,,
5,5023,6,NA,NA,NA,,,,,,,,
5,5023,7,1,1,0,,,,,,,,
5,5023,8,1,0,1,,,,,,,,
5,5023,9,0,0,0,,,,,,,,
5,5024,1,42,32,10,,,,,,,,
5,5024,2,2,2,0,,,,,,,,
5,5024,3,0,0,0,,,,,,,,
5,5024,4,0,0,0,,,,,,,,
5,5024,5,0,0,0,,,,,,,,
5,5024,6,NA,NA,NA,,,,,,,,
5,5024,7,2,1,1,,,,,,,,
5,5024,8,6,5,1,,,,,,,,
5,5024,9,0,0,0,,,,,,,,
5,5025,1,103,63,40,,,,,,,,
5,5025,2,0,0,0,,,,,,,,
5,5025,3,0,0,0,,,,,,,,
5,5025,4,0,0,0,,,,,,,,
5,5025,5,0,0,0,,,,,,,,
5,5025,6,NA,NA,NA,,,,,,,,
5,5025,7,0,0,0,,,,,,,,
5,5025,8,0,0,0,,,,,,,,
5,5025,9,0,0,0,,,,,,,,
5,5026,1,ND,ND,ND,,,,,,,,
5,5026,2,ND,ND,ND,,,,,,,,
5,5026,3,ND,ND,ND,,,,,,,,
5,5026,4,ND,ND,ND,,,,,,,,
5,5026,5,ND,ND,ND,,,,,,,,
5,5026,6,ND,ND,ND,,,,,,,,
5,5026,7,ND,ND,ND,,,,,,,,
5,5026,8,ND,ND,ND,,,,,,,,
5,5026,9,ND,ND,ND,,,,,,,,
5,5027,1,111,77,34,,,,,,,,
5,5027,2,19,14,5,,,,,,,,
5,5027,3,0,0,0,,,,,,,,
5,5027,4,0,0,0,,,,,,,,
5,5027,5,0,0,0,,,,,,,,
5,5027,6,NA,NA,NA,,,,,,,,
5,5027,7,12,12,0,,,,,,,,
5,5027,8,3,1,2,,,,,,,,
5,5027,9,0,0,0,,,,,,,,
5,5028,1,47,32,15,,,,,,,,
5,5028,2,0,0,0,,,,,,,,
5,5028,3,0,0,0,,,,,,,,
5,5028,4,0,0,0,,,,,,,,
5,5028,5,0,0,0,,,,,,,,
5,5028,6,NA,NA,NA,,,,,,,,
5,5028,7,3,3,0,,,,,,,,
5,5028,8,3,0,3,,,,,,,,
5,5028,9,0,0,0,,,,,,,,
5,5029,1,8,7,1,,,,,,,,
5,5029,2,0,0,0,,,,,,,,
5,5029,3,0,0,0,,,,,,,,
5,5029,4,0,0,0,,,,,,,,
5,5029,5,0,0,0,,,,,,,,
5,5029,6,NA,NA,NA,,,,,,,,
5,5029,7,1,1,0,,,,,,,,
5,5029,8,0,0,0,,,,,,,,
5,5029,9,0,0,0,,,,,,,,
5,5030,1,798,578,220,,,,,,,,
5,5030,2,158,122,36,,,,,,,,
5,5030,3,0,0,0,,,,,,,,
5,5030,4,0,0,0,,,,,,,,
5,5030,5,0,0,0,,,,,,,,
5,5030,6,76,72,4,,,,,,,,
5,5030,7,11,11,0,,,,,,,,
5,5030,8,55,19,36,,,,,,,,
5,5030,9,50,36,14,,,,,,,,
5,5031,1,13,10,3,,,,,,,,
5,5031,2,0,0,0,,,,,,,,
5,5031,3,0,0,0,,,,,,,,
5,5031,4,0,0,0,,,,,,,,
5,5031,5,0,0,0,,,,,,,,
5,5031,6,NA,NA,NA,,,,,,,,
5,5031,7,3,3,0,,,,,,,,
5,5031,8,5,2,3,,,,,,,,
5,5031,9,0,0,0,,,,,,,,
5,5032,1,26,23,3,,,,,,,,
5,5032,2,0,0,0,,,,,,,,
5,5032,3,0,0,0,,,,,,,,
5,5032,4,0,0,0,,,,,,,,
5,5032,5,0,0,0,,,,,,,,
5,5032,6,NA,NA,NA,,,,,,,,
5,5032,7,1,1,0,,,,,,,,
5,5032,8,4,1,3,,,,,,,,
5,5032,9,0,0,0,,,,,,,,
5,5033,1,85,68,17,,,,,,,,
5,5033,2,14,11,3,,,,,,,,
5,5033,3,0,0,0,,,,,,,,
5,5033,4,0,0,0,,,,,,,,
5,5033,5,0,0,0,,,,,,,,
5,5033,6,NA,NA,NA,,,,,,,,
5,5033,7,4,4,0,,,,,,,,
5,5033,8,0,0,0,,,,,,,,
5,5033,9,0,0,0,,,,,,,,
5,5034,1,13,11,2,,,,,,,,
5,5034,2,0,0,0,,,,,,,,
5,5034,3,0,0,0,,,,,,,,
5,5034,4,0,0,0,,,,,,,,
